code,sgg,dong,x,y
50110256,제주특별자치도 제주시,구좌읍,126.821,33.493
45190116,전라북도 남원시,도통동,127.396,35.417
11290125,서울특별시 성북구,안암동5가,127.03,37.588
48820250,경상남도 고성군,고성읍,128.297,34.977
46800250,전라남도 장흥군,장흥읍,126.901,34.672
46770320,전라남도 고흥군,도덕면,127.177,34.584
27230124,대구광역시 북구,동천동,128.56,35.939
11110168,서울특별시 종로구,동숭동,127.005,37.582
41111136,경기도 수원시 장안구,조원동,127.014,37.305
26320104,부산광역시 북구,덕천동,129.018,35.218
41590259,경기도 화성시,향남읍,126.921,37.109
48220111,경상남도 통영시,무전동,128.429,34.861
41310105,경기도 구리시,수택동,127.162,37.593
46230106,전라남도 광양시,중동,127.695,34.931
41281103,경기도 고양시 덕양구,신원동,126.877,37.672
50110104,제주특별자치도 제주시,이도이동,126.541,33.496
41115141,경기도 수원시 팔달구,인계동,127.026,37.267
46130310,전라남도 여수시,소라면,127.605,34.787
26410104,부산광역시 금정구,남산동,129.079,35.267
27290110,대구광역시 달서구,장기동,128.525,35.846
28140103,인천광역시 동구,송현동,126.642,37.485
41290107,경기도 과천시,중앙동,126.975,37.435
42130115,강원도 원주시,무실동,127.921,37.327
41115140,경기도 수원시 팔달구,우만동,127.033,37.284
41133105,경기도 성남시 중원구,상대원동,127.18,37.442
11170107,서울특별시 용산구,동자동,126.973,37.552
41135108,경기도 성남시 분당구,판교동,127.094,37.393
26230103,부산광역시 부산진구,부전동,129.057,35.157
47111256,경상북도 포항시 남구,오천읍,129.39,35.922
41290108,경기도 과천시,원문동,126.992,37.422
46860250,전라남도 함평군,함평읍,126.499,35.068
41610105,경기도 광주시,탄벌동,127.237,37.418
30170111,대전광역시 서구,갈마동,127.37,36.348
11590104,서울특별시 동작구,본동,126.955,37.512
41480101,경기도 파주시,금촌동,126.769,37.761
29200114,광주광역시 광산구,수완동,126.828,35.199
11170132,서울특별시 용산구,동빙고동,126.996,37.524
11200108,서울특별시 성동구,응봉동,127.033,37.55
41465105,경기도 용인시 수지구,신봉동,127.058,37.332
26230106,부산광역시 부산진구,연지동,129.053,35.172
47113250,경상북도 포항시 북구,흥해읍,129.356,36.105
41550101,경기도 안성시,봉산동,127.279,37.007
41190118,경기도 부천시,여월동,126.799,37.514
41111133,경기도 수원시 장안구,천천동,126.978,37.296
41285103,경기도 고양시 일산동구,정발산동,126.779,37.671
50130310,제주특별자치도 서귀포시,안덕면,126.335,33.282
46870250,전라남도 영광군,영광읍,126.505,35.297
11530106,서울특별시 구로구,고척동,126.863,37.502
11440112,서울특별시 마포구,현석동,126.935,37.542
44210101,충청남도 서산시,읍내동,126.446,36.784
11710106,서울특별시 송파구,삼전동,127.091,37.502
28110147,인천광역시 중구,운서동,126.45,37.464
41590130,경기도 화성시,청계동,127.11,37.194
27260111,대구광역시 수성구,두산동,128.621,35.828
28237105,인천광역시 부평구,삼산동,126.741,37.515
41135111,경기도 성남시 분당구,금곡동,127.098,37.358
11500106,서울특별시 강서구,내발산동,126.833,37.553
30200144,대전광역시 유성구,용산동,127.4,36.42
11740105,서울특별시 강동구,길동,127.146,37.54
11140168,서울특별시 중구,순화동,126.971,37.562
30200141,대전광역시 유성구,전민동,127.399,36.404
41450109,경기도 하남시,망월동,127.188,37.569
42130117,강원도 원주시,반곡동,127.995,37.326
11440105,서울특별시 마포구,용강동,126.941,37.541
11710105,서울특별시 송파구,석촌동,127.103,37.503
31110108,울산광역시 중구,우정동,129.31,35.563
41220124,경기도 평택시,용이동,127.139,37
41287101,경기도 고양시 일산서구,일산동,126.77,37.685
43750250,충청북도 진천군,진천읍,127.403,36.847
41570253,경기도 김포시,고촌읍,126.767,37.61
41150110,경기도 의정부시,가능동,127.017,37.741
11320105,서울특별시 도봉구,쌍문동,127.025,37.653
11440111,서울특별시 마포구,신수동,126.936,37.548
41820325,경기도 가평군,청평면,127.427,37.726
11530108,서울특별시 구로구,오류동,126.838,37.492
41830410,경기도 양평군,개군면,127.548,37.44
48129144,경상남도 창원시 진해구,풍호동,128.713,35.137
41220118,경기도 평택시,비전동,127.103,37.003
11560114,서울특별시 영등포구,당산동4가,126.899,37.529
31110103,울산광역시 중구,복산동,129.329,35.565
11470103,서울특별시 양천구,신월동,126.834,37.528
41461101,경기도 용인시 처인구,김량장동,127.203,37.236
41550350,경기도 안성시,대덕면,127.238,37.029
44131113,충청남도 천안시 동남구,봉명동,127.135,36.81
48250130,경상남도 김해시,관동동,128.786,35.171
41463112,경기도 용인시 기흥구,언남동,127.127,37.292
11380108,서울특별시 은평구,역촌동,126.915,37.605
11170122,서울특별시 용산구,문배동,126.969,37.537
30200146,대전광역시 유성구,관평동,127.389,36.422
41570107,경기도 김포시,풍무동,126.725,37.604
27230102,대구광역시 북구,칠성동2가,128.596,35.88
42110121,강원도 춘천시,온의동,127.715,37.858
11410120,서울특별시 서대문구,남가좌동,126.921,37.577
42110120,강원도 춘천시,후평동,127.747,37.883
42130107,강원도 원주시,단구동,127.954,37.324
11230106,서울특별시 동대문구,장안동,127.072,37.571
27290108,대구광역시 달서구,이곡동,128.507,35.859
31110115,울산광역시 중구,남외동,129.348,35.568
27710256,대구광역시 달성군,다사읍,128.464,35.869
42150111,강원도 강릉시,포남동,128.908,37.773
27140124,대구광역시 동구,신서동,128.731,35.887
11440125,서울특별시 마포구,성산동,126.906,37.566
47820340,경상북도 청도군,이서면,128.654,35.693
44131109,충청남도 천안시 동남구,청수동,127.155,36.792
44200253,충청남도 아산시,배방읍,127.065,36.753
11590109,서울특별시 동작구,신대방동,126.917,37.492
41390101,경기도 시흥시,대야동,126.789,37.455
45111128,전라북도 전주시 완산구,중화산동2가,127.123,35.817
42130108,강원도 원주시,일산동,127.944,37.348
27170101,대구광역시 서구,내당동,128.563,35.863
27230118,대구광역시 북구,읍내동,128.549,35.956
46150133,전라남도 순천시,조례동,127.524,34.962
44760310,충청남도 부여군,규암면,126.866,36.283
31140102,울산광역시 남구,옥동,129.283,35.53
