code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17,r17han,p16the,p16han,p16kuk,p16jung,p16valid,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung
25020,53116,34957,33550,7492,8262,138058,0.38473685,0.253205175,0.243013806,0.054267047,0.059844413,0.38473685,1,0.131531675,0.253205175,2,0.243013806,3,0.059844413,5,0.054267047,4,0.307472222,25394,38217,29868,6194,108703,0.253516386,0.381532478,0.298181753,0.061836674,0.131220463,-0.074060256,-0.055167947,-0.001992261
25030,114722,54622,62471,17033,18098,267975,0.4281071,0.203832447,0.233122493,0.063561899,0.067536151,0.4281071,1,0.194984607,0.233122493,3,0.203832447,2,0.067536151,5,0.063561899,4,0.267394346,59411,63474,56311,16187,212051,0.302906942,0.323622145,0.287101594,0.082529408,0.125200157,-0.056227798,-0.053979102,-0.014993257
25040,87794,31439,40695,13548,12180,186253,0.471369589,0.168797281,0.218493125,0.072739768,0.06539492,0.471369589,1,0.252876464,0.218493125,3,0.168797281,2,0.072739768,4,0.06539492,5,0.241537049,43918,34957,41069,15560,146418,0.323069643,0.257150724,0.302111826,0.11446249,0.148299946,-0.015613675,-0.083618701,-0.04906757
25050,40946,23749,25580,5809,7066,103676,0.394941934,0.229069409,0.246730198,0.056030325,0.068154636,0.394941934,1,0.148211737,0.246730198,3,0.229069409,2,0.068154636,5,0.056030325,4,0.285099734,20816,28168,21409,4458,83023,0.276688221,0.374411694,0.284570433,0.059256153,0.118253713,-0.08931196,-0.037840235,0.008898482
26010,49513,44517,23466,10683,10719,139602,0.354672569,0.318885116,0.168092148,0.076524692,0.076782568,0.354672569,1,0.035787453,0.318885116,2,0.168092148,3,0.076782568,5,0.076524692,4,0.395409808,20645,39339,21403,7772,103870,0.230384921,0.438997937,0.238843713,0.086730521,0.124287648,-0.043588129,-0.070751566,-0.009947953
26020,70495,58925,34631,15913,13867,194672,0.362121928,0.302688625,0.177894099,0.081742623,0.071232637,0.362121928,1,0.059433303,0.302688625,2,0.177894099,3,0.081742623,4,0.071232637,5,0.384431248,33808,54529,30735,11077,144885,0.258641607,0.417163635,0.235132211,0.08474246,0.103480321,-0.032732387,-0.057238112,-0.013509822
26030,39941,22060,17283,7244,10368,97429,0.40994981,0.226421291,0.177390715,0.074351579,0.106415954,0.40994981,1,0.183528518,0.226421291,2,0.177390715,3,0.106415954,5,0.074351579,4,0.300772871,17830,26534,18096,7257,85016,0.25434913,0.378513731,0.258143682,0.103522806,0.15560068,-0.07774086,-0.080752967,0.002893148
26040,46033,24351,17622,8669,11387,108642,0.423712745,0.224139835,0.162202463,0.079794186,0.104812135,0.423712745,1,0.199572909,0.224139835,2,0.162202463,3,0.104812135,5,0.079794186,4,0.303934022,18337,26701,16181,11414,85353,0.251113205,0.365652707,0.221588197,0.156307255,0.172599539,-0.061718686,-0.059385734,-0.051495119
26310,41096,38512,20391,9252,7712,117693,0.349179645,0.327224219,0.173255844,0.078611302,0.065526412,0.349179645,1,0.021955426,0.327224219,2,0.173255844,3,0.078611302,4,0.065526412,5,0.405835521,19725,37982,18851,6066,94365,0.237251333,0.456845634,0.226738904,0.072961551,0.111928312,-0.051010113,-0.05348306,-0.007435139
29010,64561,20297,27374,7249,7424,127480,0.506440226,0.159217132,0.214731723,0.056863822,0.058236586,0.506440226,1,0.291708503,0.214731723,3,0.159217132,2,0.058236586,5,0.056863822,4,0.216080954,48524,40023,46759,16064,165902,0.319119587,0.263212498,0.30751201,0.105645393,0.187320639,-0.047131544,-0.092780288,-0.047408807
31011,70498,34015,38214,11837,11810,167119,0.421843118,0.203537599,0.228663408,0.070829768,0.070668206,0.421843118,1,0.19317971,0.228663408,3,0.203537599,2,0.070829768,4,0.070668206,5,0.274367367,37264,40791,35890,10241,134294,0.298728365,0.327002704,0.287713639,0.082097391,0.123114753,-0.052635337,-0.059050231,-0.011429185
31012,82012,38959,45130,13339,13253,193619,0.423574133,0.201214757,0.233086629,0.068893032,0.068448861,0.423574133,1,0.190487504,0.233086629,3,0.201214757,2,0.068893032,4,0.068448861,5,0.270107789,42417,45863,37796,9441,147489,0.311504364,0.336811294,0.277568403,0.06933335,0.112069768,-0.066703505,-0.044481774,-0.000884489
