code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
31200,93657,50884,49209,14739,17624,227343,0.411963421,0.223820395,0.216452673,0.064831554,0.07752163,0.411963421,1,0.188143026,0.223820395,2,0.216452673,3,0.07752163,5,0.064831554,4
31210,38022,30972,23626,6680,7276,107165,0.354798675,0.289012271,0.220463771,0.062333784,0.067895302,0.354798675,1,0.065786404,0.289012271,2,0.220463771,3,0.067895302,5,0.062333784,4
31220,34236,24784,22701,5487,6613,94405,0.362650283,0.262528468,0.240463958,0.058121922,0.070049256,0.362650283,1,0.100121816,0.262528468,2,0.240463958,3,0.070049256,5,0.058121922,4
31230,82107,44346,45786,13798,12480,199342,0.411890118,0.2224619,0.229685666,0.069217726,0.062605974,0.411890118,1,0.182204453,0.229685666,3,0.2224619,2,0.069217726,4,0.062605974,5
31240,154226,61817,75239,22597,22205,337516,0.456944263,0.183152799,0.222919802,0.0669509,0.065789474,0.456944263,1,0.234024461,0.222919802,3,0.183152799,2,0.0669509,4,0.065789474,5
31250,66335,40328,40820,10457,10524,169256,0.391921114,0.238266295,0.241173134,0.061782152,0.062178003,0.391921114,1,0.150747979,0.241173134,3,0.238266295,2,0.062178003,5,0.061782152,4
31260,39898,27208,25564,6558,6790,106584,0.374333859,0.255272836,0.239848382,0.061528935,0.063705622,0.374333859,1,0.119061022,0.255272836,2,0.239848382,3,0.063705622,5,0.061528935,4
31270,23515,26014,20253,4995,4698,79984,0.293996299,0.325240048,0.253213143,0.06244999,0.058736747,0.325240048,2,0.031243749,0.293996299,1,0.253213143,3,0.06244999,4,0.058736747,5
31280,17291,19891,12676,3286,3704,57234,0.302110634,0.347538177,0.221476745,0.057413426,0.064716777,0.347538177,2,0.045427543,0.302110634,1,0.221476745,3,0.064716777,5,0.057413426,4
31350,6836,8824,5987,1576,1298,24719,0.276548404,0.356972369,0.242202354,0.063756624,0.052510215,0.356972369,2,0.080423965,0.276548404,1,0.242202354,3,0.063756624,4,0.052510215,5
31370,8934,12710,7880,1861,1728,33477,0.266869791,0.37966365,0.235385489,0.055590405,0.051617528,0.37966365,2,0.112793858,0.266869791,1,0.235385489,3,0.055590405,4,0.051617528,5
31380,17198,22338,13510,3456,3405,60325,0.285089101,0.37029424,0.223953585,0.057289681,0.05644426,0.37029424,2,0.085205139,0.285089101,1,0.223953585,3,0.057289681,4,0.05644426,5
32010,59010,41092,35384,10942,11178,158391,0.372559047,0.259433932,0.223396531,0.069082208,0.070572192,0.372559047,1,0.113125114,0.259433932,2,0.223396531,3,0.070572192,5,0.069082208,4
32020,67743,47879,41467,11898,12463,182486,0.371222998,0.262370812,0.22723387,0.065199522,0.06829565,0.371222998,1,0.108852186,0.262370812,2,0.22723387,3,0.06829565,5,0.065199522,4
32030,36221,42437,24508,8452,7129,119451,0.303228939,0.355267013,0.205171995,0.070757047,0.059681376,0.355267013,2,0.052038074,0.303228939,1,0.205171995,3,0.070757047,4,0.059681376,5
32040,14692,17921,9948,3270,2843,49024,0.299689948,0.365555646,0.202921018,0.066702023,0.057992004,0.365555646,2,0.065865698,0.299689948,1,0.202921018,3,0.066702023,4,0.057992004,5
32050,8113,9470,4402,1221,1404,24766,0.327586207,0.382379068,0.177743681,0.049301462,0.056690624,0.382379068,2,0.054792861,0.327586207,1,0.177743681,3,0.056690624,5,0.049301462,4
32060,12764,12970,9843,2897,2558,41232,0.309565386,0.314561506,0.238722352,0.070260962,0.062039193,0.314561506,2,0.00499612,0.309565386,1,0.238722352,3,0.070260962,4,0.062039193,5
32070,11071,15002,7149,2272,2243,38061,0.290875174,0.394156748,0.187830062,0.05969365,0.058931715,0.394156748,2,0.103281574,0.290875174,1,0.187830062,3,0.05969365,4,0.058931715,5
32310,11775,12456,9051,2419,2210,38234,0.307971962,0.325783334,0.236726474,0.063268295,0.057801956,0.325783334,2,0.017811372,0.307971962,1,0.236726474,3,0.063268295,4,0.057801956,5
32320,7179,9657,5671,1342,1260,25338,0.283329387,0.381127161,0.223814034,0.052963928,0.049727682,0.381127161,2,0.097797774,0.283329387,1,0.223814034,3,0.052963928,4,0.049727682,5
32330,6573,8090,5025,1215,1110,22210,0.295947771,0.364250338,0.226249437,0.054705088,0.049977488,0.364250338,2,0.068302566,0.295947771,1,0.226249437,3,0.054705088,4,0.049977488,5
32340,7100,8504,5268,1234,1261,23559,0.301371026,0.360966085,0.223608812,0.052379133,0.053525192,0.360966085,2,0.059595059,0.301371026,1,0.223608812,3,0.053525192,5,0.052379133,4
32350,7022,7765,3963,961,969,20903,0.335932641,0.371477778,0.189590011,0.045974262,0.046356982,0.371477778,2,0.035545137,0.335932641,1,0.189590011,3,0.046356982,5,0.045974262,4
32360,7499,7766,6217,1815,1507,24982,0.300176127,0.310863822,0.248859179,0.07265231,0.060323433,0.310863822,2,0.010687695,0.300176127,1,0.248859179,3,0.07265231,4,0.060323433,5
32370,4095,4526,3378,1159,874,14166,0.289072427,0.319497388,0.23845828,0.081815615,0.061697021,0.319497388,2,0.030424961,0.289072427,1,0.23845828,3,0.081815615,4,0.061697021,5
32380,3687,3892,3113,1090,740,12666,0.291094268,0.30727933,0.245776093,0.086057161,0.058424128,0.30727933,2,0.016185062,0.291094268,1,0.245776093,3,0.086057161,4,0.058424128,5
32390,5427,5485,4182,1369,1029,17681,0.306939653,0.31022001,0.236525083,0.077427747,0.058198066,0.31022001,2,0.003280357,0.306939653,1,0.236525083,3,0.077427747,4,0.058198066,5
32400,4548,6091,3442,978,721,15926,0.285570765,0.382456361,0.216124576,0.061409017,0.045271882,0.382456361,2,0.096885596,0.285570765,1,0.216124576,3,0.061409017,4,0.045271882,5
32410,4162,6288,3443,898,786,15730,0.264589955,0.399745709,0.218881119,0.057088366,0.049968214,0.399745709,2,0.135155753,0.264589955,1,0.218881119,3,0.057088366,4,0.049968214,5
33020,38172,36585,25980,6207,6919,114543,0.33325476,0.319399701,0.226814384,0.054189256,0.060405263,0.33325476,1,0.013855059,0.319399701,2,0.226814384,3,0.060405263,5,0.054189256,4
33030,24608,25639,15994,4308,4407,75489,0.325981269,0.339638888,0.211871928,0.057067917,0.058379367,0.339638888,2,0.013657619,0.325981269,1,0.211871928,3,0.058379367,5,0.057067917,4
33041,36587,25173,19553,5545,6266,93679,0.390557115,0.268715507,0.208723407,0.059191494,0.06688799,0.390557115,1,0.121841608,0.268715507,2,0.208723407,3,0.06688799,5,0.059191494,4
33042,48217,27881,25378,7135,7981,117118,0.411695896,0.238059052,0.216687443,0.060921464,0.068144948,0.411695896,1,0.173636845,0.238059052,2,0.216687443,3,0.068144948,5,0.060921464,4
