name,sum
경상남도의회|의원|김홍진,1770090
국회|국회의원|조배숙,1767554
국회|국회부의장|박주선,1762278
서울중앙지방법원|원로법관|성기문,1761553
산업통상자원부한국전기안전공사|사장|이상권,1760857
서울고등법원|부장판사|오석준,1757130
울산광역시의회|의원|최유경,1757039
강원도의회|의원|남평우,1754502
대검찰청전주지방검찰청|검사장|장호중,1752286
법무부|교정본부장|김학성,1741268
국회|국회의원|이철우,1738208
교육부사립학교교직원연금공단|이사장|김화진,1737323
국회|국회의원|김명연,1734058
대통령비서실|정보방송통신비서관|석제범,1731075
대전광역시의회|의원|심현영,1730096
교육부한국방송통신대학교|부총장|김외숙,1728266
경기도의회|의원|이순희,1728143
국회|국회의원|이주영,1727066
국회|국회의원|정재호,1723549
충청남도의회|의원|김응규,1722678
국회|국회의원|염동열,1715442
국회|국회의원|김재경,1714382
기획재정부|제1차관|최상목,1713590
국회|국회의원|김진표,1713320
전라남도의회|의원|이용재,1711357
문화체육관광부한국예술종합학교|총장|김봉렬,1711056
경상북도의회|의원|조주홍,1710302
교육부충북대학교|부총장|권효식,1707380
외교부|대사|문하영,1704495
국회|국회의원|백승주,1704406
경기도구리시|시장|백경현,1703815
국회|국회의원|곽대훈,1701690
인천광역시의회|의원|최만용,1701352
국가보훈처한국보훈복지의료공단|이사장|김옥이,1701329
전라남도의회|의원|한택희,1694675
금융위원회금융감독원|부원장보|권순찬,1692724
경기도김포시|시장|유영록,1687955
대구지방법원|수석부장판사|강동명,1687937
경찰청경찰대학|학장|서범수,1684517
국토교통부|장관|강호인,1683131
국방부|-|최병로,1682022
국회|국회의원|윤영일,1681535
문화체육관광부국제방송교류재단|사장|문재완,1681225
서울고등법원|부장판사|한규현,1678863
국회|국회의원|우원식,1676207
강원도강원도립대학교|총장|송승철,1672459
서울특별시|기획조정실장|장혁재,1671213
부산광역시|경제부시장|김규옥,1670732
대통령비서실|경제수석비서관|강석훈,1662804
외교부|재외동포영사대사|한동만,1659112
서울고등법원|부장판사|여미숙,1658244
국회|국회의원|김관영,1654857
대검찰청|감찰부장|정병하,1652480
전라북도의회|의원|이학수,1652354
교육부충남대학교|총장|오덕성,1652180
교육부한국교원대학교|부총장|주명덕,1651790
국회|국회의원|이종구,1651218
문화체육관광부아시아문화원|원장|김병석,1648556
교육부서울대학교병원|병원장|서창석,1648376
경상북도구미시|시장|남유진,1646696
대통령비서실|교육비서관|김관복,1646268
경상남도거제시|시장|권민호,1644692
국회|국회의원|윤재옥,1642922
방위사업청|사업관리본부장|유병직,1642486
국회|국회의원|김성찬,1642475
제주특별자치도의회|의원|고정식,1637080
서울특별시의회|의원|우창윤,1630699
헌법재판소|재판관|이정미,1630561
국토교통부인천국제공항공사|사장|정일영,1629736
대전고등법원|부장판사|이승훈,1628674
국회|국회의원|이용주,1627720
중앙선거관리위원회|상임위원|윤병태,1626790
사법연수원|사법연수원장|최재형,1624544
대구광역시|시장|권영진,1624509
제주특별자치도|도지사|원희룡,1622090
보건복지부국민연금공단|이사장|문형표,1621973
경상북도의회|의원|윤종도,1613079
제주특별자치도의회|의원|김광수,1612576
국회|국회의원|박완수,1611960
법무부|법무실장|김호철,1610399
개인정보보호위원회|상임위원|임채호,1600979
국회|국회의원|이헌승,1592621
전라북도남원시|시장|이환주,1591612
국방부|-|엄기학,1588410
서울특별시의회|의원|김생환,1587644
금융위원회금융감독원|감사|김일태,1584053
국회|국회의원|정인화,1582571
기획재정부|세제실장|최영록,1579046
경찰청도로교통공단|이사장|신용선,1576728
경상북도의회|의원|이상구,1573457
